run_id,timestamp,protocol,workload,num_cores,total_accesses,total_hits,total_misses,global_hit_rate,global_miss_rate,total_bus_requests,total_bus_grants,total_mem_accesses,total_bus_bytes,busrd,busrdx,busupd,total_invalidations,total_updates,total_memory_accesses,total_memory_bytes,source_file,workload_base,workload_model,size,batch_id,run_index,status,bus_total_requests,bus_total_grants,bus_total_mem_accesses,bus_total_bytes,bus_total_invalidations,bus_total_updates,bus_queue_backpressure_events,bus_busrd,bus_busrdx,bus_busupd,bus_total_time_ns,bus_bandwidth_bytes_per_ns,mem_total_accesses,mem_total_bytes,mem_sim_time_ns,mem_bandwidth_bytes_per_ns,mem_max_queue_length,mem_avg_queue_wait_ns,mem_avg_service_time_ns,mem_avg_total_latency_ns,mem_total_service_time_ns,bus_bandwidth_MB_s,mem_bandwidth_MB_s,busrdx_per_access,busupd_per_access,invalidations_per_access,updates_per_access,ownership_or_update_rate
20260510_193407_r01,2026-05-10T19:34:09.115,MSI,workload_contention_20,4,80,46,34,57.5,42.5,42,42,42,1344,16,26,0,26,0,42,1344,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r01_MSI_workload_contention_20_summary.csv,workload_contention_20,CONTENTION,20,20260510_193407,1.0,PASS,42,42,42,1344,26,0,0,16,26,0,604.0,2.225166,42,1344,604.0,2.225166,1,0.0,4.0,4.0,168.0,2225.166,2225.166,0.325,0.0,0.325,0.0,0.325
20260510_193407_r02,2026-05-10T19:34:10.730,MSI,workload_contention_100,4,400,253,147,63.25,36.75,183,183,183,5856,83,100,0,100,0,183,5856,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r02_MSI_workload_contention_100_summary.csv,workload_contention_100,CONTENTION,100,20260510_193407,2.0,PASS,183,183,183,5856,100,0,0,83,100,0,2480.0,2.36129,183,5856,2480.0,2.36129,1,0.0,4.0,4.0,732.0,2361.29,2361.29,0.25,0.0,0.25,0.0,0.25
20260510_193407_r03,2026-05-10T19:34:12.489,MSI,workload_contention_1000,4,4000,2648,1352,66.2,33.8,1864,1864,1864,59648,862,1002,0,1002,0,1864,59648,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r03_MSI_workload_contention_1000_summary.csv,workload_contention_1000,CONTENTION,1000,20260510_193407,3.0,PASS,1864,1864,1864,59648,1002,0,0,862,1002,0,23798.0,2.506429,1864,59648,23798.0,2.506429,1,0.0,4.0,4.0,7456.0,2506.4289999999996,2506.4289999999996,0.2505,0.0,0.2505,0.0,0.2505
20260510_193407_r04,2026-05-10T19:34:17.329,MSI,workload_contention_10000,4,40000,28133,11867,70.33,29.67,16845,16845,16845,539040,7663,9182,0,9182,0,16845,539040,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r04_MSI_workload_contention_10000_summary.csv,workload_contention_10000,CONTENTION,10000,20260510_193407,4.0,PASS,16845,16845,16845,539040,9182,0,0,7663,9182,0,212052.0,2.542018,16845,539040,212052.0,2.542018,1,0.0,4.0,4.0,67380.0,2542.018,2542.018,0.22955,0.0,0.22955,0.0,0.22955
20260510_193407_r05,2026-05-10T19:34:50.974,MSI,workload_contention_100000,4,400000,276136,123864,69.03,30.97,175929,175929,175929,5629728,79614,96315,0,96315,0,175929,5629728,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r05_MSI_workload_contention_100000_summary.csv,workload_contention_100000,CONTENTION,100000,20260510_193407,5.0,PASS,175929,175929,175929,5629728,96315,0,0,79614,96315,0,2186086.0,2.575255,175929,5629728,2186086.0,2.575255,1,0.0,4.0,4.0,703716.0,2575.2549999999997,2575.2549999999997,0.2407875,0.0,0.2407875,0.0,0.2407875
20260510_193407_r06,2026-05-10T19:40:23.423,MSI,workload_migration_20,4,80,46,34,57.5,42.5,42,42,42,1344,22,20,0,20,0,42,1344,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r06_MSI_workload_migration_20_summary.csv,workload_migration_20,MIGRATION,20,20260510_193407,6.0,PASS,42,42,42,1344,20,0,0,22,20,0,624.0,2.153846,42,1344,624.0,2.153846,1,0.0,4.0,4.0,168.0,2153.846,2153.846,0.25,0.0,0.25,0.0,0.25
20260510_193407_r07,2026-05-10T19:40:25.522,MSI,workload_migration_100,4,400,264,136,66.0,34.0,180,180,180,5760,94,86,0,86,0,180,5760,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r07_MSI_workload_migration_100_summary.csv,workload_migration_100,MIGRATION,100,20260510_193407,7.0,PASS,180,180,180,5760,86,0,0,94,86,0,2468.0,2.333874,180,5760,2468.0,2.333874,1,0.0,4.0,4.0,720.0,2333.874,2333.874,0.215,0.0,0.215,0.0,0.215
20260510_193407_r08,2026-05-10T19:40:27.500,MSI,workload_migration_1000,4,4000,2902,1098,72.55,27.45,1542,1542,1542,49344,805,737,0,737,0,1542,49344,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r08_MSI_workload_migration_1000_summary.csv,workload_migration_1000,MIGRATION,1000,20260510_193407,8.0,PASS,1542,1542,1542,49344,737,0,0,805,737,0,20746.0,2.378483,1542,49344,20746.0,2.378483,1,0.0,4.0,4.0,6168.0,2378.483,2378.483,0.18425,0.0,0.18425,0.0,0.18425
20260510_193407_r09,2026-05-10T19:40:32.028,MSI,workload_migration_10000,4,40000,33239,6761,83.1,16.9,11177,11177,11177,357664,4818,6359,0,6359,0,11177,357664,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r09_MSI_workload_migration_10000_summary.csv,workload_migration_10000,MIGRATION,10000,20260510_193407,9.0,PASS,11177,11177,11177,357664,6359,0,0,4818,6359,0,161558.0,2.213843,11177,357664,161558.0,2.213843,1,0.0,4.0,4.0,44708.0,2213.843,2213.843,0.158975,0.0,0.158975,0.0,0.158975
20260510_193407_r10,2026-05-10T19:40:58.492,MSI,workload_migration_100000,4,400000,336501,63499,84.13,15.87,108105,108105,108105,3459360,45094,63011,0,63011,0,108105,3459360,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r10_MSI_workload_migration_100000_summary.csv,workload_migration_100000,MIGRATION,100000,20260510_193407,10.0,PASS,108105,108105,108105,3459360,63011,0,0,45094,63011,0,1572806.0,2.199483,108105,3459360,1572806.0,2.199483,1,0.0,4.0,4.0,432420.0,2199.4829999999997,2199.4829999999997,0.1575275,0.0,0.1575275,0.0,0.1575275
20260510_193407_r11,2026-05-10T19:45:03.038,MSI,workload_prod-cons_20,4,80,20,60,25.0,75.0,70,70,70,2240,30,40,0,40,0,70,2240,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r11_MSI_workload_prod-cons_20_summary.csv,workload_prod-cons_20,PROD-CONS,20,20260510_193407,11.0,PASS,70,70,70,2240,40,0,0,30,40,0,910.0,2.461538,70,2240,910.0,2.461538,1,0.0,4.0,4.0,280.0,2461.538,2461.538,0.5,0.0,0.5,0.0,0.5
20260510_193407_r12,2026-05-10T19:45:04.776,MSI,workload_prod-cons_100,4,400,100,300,25.0,75.0,350,350,350,11200,150,200,0,200,0,350,11200,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r12_MSI_workload_prod-cons_100_summary.csv,workload_prod-cons_100,PROD-CONS,100,20260510_193407,12.0,PASS,350,350,350,11200,200,0,0,150,200,0,4270.0,2.622951,350,11200,4270.0,2.622951,1,0.0,4.0,4.0,1400.0,2622.951,2622.951,0.5,0.0,0.5,0.0,0.5
